country,week,gkg_n_docs,gkg_mean_tone
HA,2025-12-21,96,-3.533504754141191
AF,2025-12-21,311,-2.8722013460233824
TI,2025-12-21,38,-0.033721905035616666
CO,2025-12-21,229,-1.4710133954938485
SO,2025-12-21,120,-3.1126859146193864
ET,2025-12-21,76,0.3990078633922923
BM,2025-12-21,25,-0.6942485769861113
OD,2025-12-21,50,-3.2195792535892465
KG,2025-12-21,43,2.629550249695254
UZ,2025-12-21,54,1.377366923723325
ER,2025-12-21,33,-3.6840440960923995
NU,2025-12-21,22,-2.8433505496897165
BL,2025-12-21,34,-1.437650869577923
EC,2025-12-21,53,0.36680089685216616
PK,2025-12-28,858,-2.005390680054982
CO,2025-12-28,229,-2.857947140996332
AF,2025-12-28,386,-2.6074119348189053
KE,2025-12-28,223,-0.5453410587833102
BM,2025-12-28,505,-3.4561723270791687
PE,2025-12-28,129,0.7543178878361086
BL,2025-12-28,52,1.9719139817932725
VE,2025-12-28,341,-2.943519119244981
EC,2025-12-28,32,-1.5403590998296435
NU,2025-12-28,31,-2.081578874499704
HA,2025-12-28,41,-1.6379442202688332
SO,2025-12-28,426,-2.647628991818692
ET,2025-12-28,132,-0.18405721585495186
SU,2025-12-28,178,-2.391019572039267
OD,2025-12-28,73,-2.8129773111318928
